Model,Original_R2,Tuned_R2,Improvement_%,Tuned_RMSE,Tuned_MAE,Best_CV_Score,Tuning_Time
Linear Regression,1.0,1.0,0.0,3.1442710413047747e-16,2.220446049250313e-16,1.0,4.2010657787323
Ridge,0.9999977781132424,0.9999999774947435,0.00021993863878209827,2.3769077505062e-05,1.752363926466628e-05,0.9999999256670321,1.6638660430908203
Gradient Boosting,0.9943449798912324,0.9962857830550822,0.1951840863180212,0.0096561493962433,0.005136116051187697,0.990681595906938,14.64891004562378
